Ethereum ,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,Active Addresses
01 Apr 2026,$53.985b,"$364,832",$2.068b,$1.392b,$254.041b,"693,061"
02 Apr 2026,$54.108b,"$322,732",$1.227b,$1.455b,$258.116b,"658,329"
03 Apr 2026,$53.226b,"$228,889",$973.51m,$1.289b,$248.3b,"570,085"
04 Apr 2026,$52.695b,"$157,496",$548.12m,$1.083b,$247.83b,"450,464"
05 Apr 2026,$52.987b,"$194,664",$563.47m,$1.198b,$249.241b,"455,796"
6 Apr 2026,$53.605b,"$263,820",$1.407b,$1.363b,$254.593b,"698,309"
7 Apr 2026,$51.894b,"$462,035",$1.337b,$1.476b,$254.579b,"754,766"
08 Apr 2026,$54.235b,"$313,359",$1.434b,$1.44b,$270.468b,"682,758"
09 Apr 2026,$53.548b,"$241,637",$1.337b,$1.46b,$264.372b,"576,037"
10 Apr 2026,$53.775b,"$272,814",$1.02b,$1.453b,$264.23b,"642,281"
11 Apr 2026,$54.524b,"$185,049",$676.08m,$1.322b,$270.957b,"587,354"
12 Apr 2026,$55.139b,"$233,677",$789.71m,$1.336b,$275.867b,"507,208"
13 Apr 2026,$53.437b,"$392,998",$1.513b,$1.498b,$264.545b,"725,111"
14 Apr 2026,$55.951b,"$374,734",$1.623b,$1.43b,$286.322b,"823,805"
15 Apr 2026,$55.719b,"$326,358",$1.089b,$1.478b,$280.391b,"611,497"
16 Apr 2026,$55.773b,"$382,482",$1.198b,$1.658b,$284.828b,"503,951"
17 Apr 2026,$55.679b,$1.04m,$1.511b,$1.636b,$283.412b,"526,427"
18 Apr 2026,$56.513b,$1.16m,$1.711b,$1.435b,$292.202b,"473,705"
19 Apr 2026,$47.921b,$1.48m,$3.499b,$1.482b,$283.737b,"3,82,290"
20 Apr 2026,46.631B,$1.72m,$2.556b,$1.505b,273.472B,"476,061"
21 Apr,46.299B,"$978,393",$3.213b,$1.462b,279.392B,"551,342"
22 Apr 2026,45.832B,$2.72m,$2.532b,$1.589b,280.907B,"465,903"
23 Apr 2026,46.443B,$1.67m,$2.296b,$1.625b,287.037B,"500,878"
24 Apr 2026,45.658B,$1.37m,$1.295b,$1.32b,281.373B,"588,615"
25 Apr 2026,44.826B,"$825,334",$958.08m,$1.091b,279.46B,"776,510"
26 Apr 2026,45.293B,$1.48m,$882.31m,$1.217b,279.896B,"595,428"
27 Apr 2026,46.038B,$1.77m,$1.118b,$1.396b,286.063B,"477,104"
28 Apr 2026,44.961B,$1.27m,$1.669b,$1.348b,277.513B,"434,541"
29 Apr 2026,44.679B,$1.17m,$1.509b,$1.473b,276.138B,"434,772"
30 Apr 2026,44.934B,$1.06m,$1.397b,$1.369b,272.01B,"519,444"
,,,,,,
Solana,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,
01 Apr 2026,$6.34b,"$688,379",$2.919b,$1.807b,$47.557b,
02 Apr 2026,$5.376b,"$512,544",$1.541b,$1.26b,$46.548b,
03 Apr 2026,$5.392b,"$503,560",$1.283b,$544.54m,$45.213b,
