Ethereum ,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,Active Addresses
27 Apr 2026,46.038B,$1.77m,$1.118b,$1.396b,286.063B,"477,104"
28 Apr 2026,44.961B,$1.27m,$1.669b,$1.348b,277.513B,"434,541"
29 Apr 2026,44.679B,$1.17m,$1.509b,$1.473b,276.138B,"434,772"
30 Apr 2026,44.934B,$1.06m,$1.397b,$1.369b,272.01B,"519,444"
1 May 2026,$45.095b,"$685,902",$1.136b,$1.338b,$272.336b,"513,802"
2 May 2026,$45.188b,"$449,195",$582.13m,$1.09b,$276.769b,"387,640"
03 May 2026,$45.749b,"$487,690",$676.16m,$1.192b,$279.471b,"400,308"
,,,,,,
Solana,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,
27 Apr 2026,$5.578b,"$551,750",$1.575b,$887.5m,$50.077b,
28 Apr 2026,$5.506b,"$640,105",$2.229b,$970.29m,$48.848b,
29 Apr 2026,$5.457b,"$622,994",$1.313b,$1.008b,$48.377b,
30 Apr 2026,$5.413b,"$530,114",$1.178b,$1.111b,$47.818b,
1 May 2026,$5.422b,"$511,050",$1.179b,$925.33m,$47.824b,
2 May 2026,$5.419b,"$429,237",$793.18m,$278.32m,$48.212b,
03 May 2026,$5.449b,"$421,957",$568.69m,$554.33m,$48.592b,
,,,,,,
BSC,,,,,,
Date,TVL,DEXs Volume,Perps Volume,Active Addresses,Transactions,
27 Apr,$5.582b,$579.77m,$270.91m,3.49m,15.16m TXs,
28 Apr,$5.505b,$492.17m,$266.77m,2.61m,13.84m TXs,
29 Apr,$5.49b,$587.94m,$256.22m,2.8m,14.73m TXs,
30 Apr,$5.459b,$476.26m,$263.65m,2.74m,14.25m TXs,
01 May 2026,$5.442b,$658.26m,$270.63m,2.72m,15.59m TXs,
2 May 2026,$5.471b,$616.85m,$257.46m,2.47m,14.36m TXs,
3 May 2026,$5.486b,$746.51m,$269.24m,2.43m,14.32m TXs,
,,,,,,
TRON,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,,
27 Apr 2026,$5.116b,$1.03m,$45.76m,$195.05m,,
28 Apr 2026,$5.085b,$1.03m,$46.46m,$100.81m,,
29 Apr 2026,$5.045b,$1.01m,$62.2m,$123.58m,,
30 Apr,$5.035b,$1.09m,$41.42m,$133.69m,,
1 May 2026,$5.054b,"$894,017",$43.21m,$117.9m,,
2 May 2026,$5.086b,"$708,052",$61.86m,$109.66m,,
03 May 2026,$5.036b,"$672,169",$90.18m,$134.15m,,
,,,,,,
Bitcoin,,,,,,
Date,TVL,DEXs Volume,,,,
27 Apr 2026,$5.252b,$1.16m,,,,
28 Apr 2026,$5.154b,"708,949",,,,
29 Apr 2026,$5.094b,"662,007",,,,
30 Apr 2026,$5.065b,"647,429",,,,
1 May 2026,$5.095b,$1.2m,,,,
2 May 2026,$5.212b,"$302,414",,,,
03 May 2026,$5.248b,"$439,593",,,,
,,,,,,
Base,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Active Addresses,
27 Apr,$4.431b,"73,047",$881.24m,$480.73m,"404,306",
28 Apr,$4.384b,"61,734",$749.66m,$396.38m,"415,822",
29 Apr,$4.349b,"85,749",$942.07m,$270.82m,"389,284",
30 Apr,$4.346b,"$81,715",$642.3m,$168.91m,"513,616",
1 May,$4.389b,"57,794",$655.31m,$154.46m,"400,282",
2 May,$4.475b,"43,845",$335.03m,$102.11m,"423,782",
3 May,$4.528b,"60,289",$470.22m,$139.93m,"409,428",
