Ethereum Chain Data,,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions
01 Feb,$61.896b,"$648,100","$152,909",$2.793b,$1.528b,$294.721b,$154.934b,1.17m,2.51m
02 Feb 2026,$59.105b,"$969,976","219,231",$3.177b,$1.757b,$273.918b,154.901b,"834,258",2.31m TXs
03 Feb 2026,$59.961b,"$829,236","177,386",$2.527b,$1.614b,$282.937b,155.432b,1.03m,2.57m TXs
04 Feb 2026,$59.165b,"$795,788","149,340",$2.753b,$1.55b,$268.883b,156.087b,"854,854",2.49m TXs
05 Feb 2026,$57.641b,$3m,1.07m,$4.341b,$1.569b,$259.877b,155.425b,"765,958",2.25m TXs
06 Feb 2026,$51.667b,$1.46m,"544,820",$3.832b,$1.727b,$222.173b,154.797b,"960,395",2.52m TXs
07 Feb 2026,$54.889b,"$616,192","58,296",$2.325b,$1.456b,$248.749b,154.222b,1.17m,2.89m TXs
08 Feb 2026,$56.482b,"$293,383","25,331",$1.157b,$1.355b,$252.513b,154.508b,"871,462",2.32m TXs
09 Feb,$56.811b,"$411,520","$54,365",$1.825b,$1.431b,$253.245b,$158.252b,"956,198",2.81m
10 Feb,$56.792b,"$298,388","$38,139",$1.802b,$1.39b,$253.912b,$159.03b,"794,911",2.64m
11 Feb,$55.62b,"$676,156","$53,957",$2.202b,$1.492b,$243.588b,$157.926b,"776,145",2.47m
12 Feb,$54.842b,"$402,589","$106,959",$1.943b,$1.519b,$234.04b,$158.198b,"748,167",2.17m
13 Feb,$54.29b,"$319,977","$39,977",$1.848b,$1.459b,$234.801b,$158.191b,"773,537",2.25m
14 Feb,$55.766b,"$209,739","$20,067",$1.226b,$1.441b,$247.095b,$158.226b,"659,017",1.92m
15 Feb,$54.408b,"$284,814","$16,449",$1.629b,$1.504b,$251.943b,$158.314b,"549,188",1.74m
16 Feb,$54.668b,"$258,813","$17,899",$1.088b,$1.48b,$237.06b,$158.393b,"671,150",2.01m
17 Feb,$54.804b,"332,779","$32,491",$1.463b,$1.429b,$241.438b,$158.939b,"638,080",1.96m
18 Feb,$54.84b,"$310,784","$34,528",$1.859b,$1.392b,$240.296b,$158.54b,"650,762",2.01m
19 Feb,$53.941b,"$285,436","$35,312",$2.079b,$1.375b,$235.736b,$158.505b,"643,162",2.01m
20 Feb,$53.966b,"$317,814","$31,005",$1.949b,$1.435b,$235.007b,$158.95b,"586,256",1.87m
21 Feb,$53.667b,"$193,804","$17,469",$1.067b,$1.288b,$237.381b,$158.36b,"557,786",1.68m
22 Feb,$53.82b,"$171,218","$15,889",$1.526b,$1.188b,$238.204b,$158.311b,"547,260",1.72m
23 Feb,$53.812b,"$286,438","$27,497",$1.701b,$1.465b,$235.501b,$158.447b,"701,419",2.01m
24 Feb,$52.253b,"$328,508","$36,473",$1.756b,$1.468b,$223.732b,$158.602b,"655,058",2.07m
25 Feb,$52.027b,"$509,606","$62,794",$2.065b,$1.703b,$223.610b,$158.740b,"952,126",2.33m
26 Feb,$54.884b,"$392,452","$46,203",$1.760b,$1.554b,$247.537b,$159.015b,"714,991",2.14m
27 Feb,$54.532b,"$335,399","$38,388",$1.485b,$1.354b,$244.470b,$158.681b,"661,812",2.06m
28 Feb,$53.087b,"$375,232","$35,437",$1.356b,$1.464b,$233.144b,$158.825b,"691,271",2.03m
,,,,,,,,,
Solana Chain data,,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions
01 Feb,$7.555b,"$791,055","$76,918",$4.943b,$1.648b,$59.663b,$13.422b,2.64m,100.06m TXs
02 Feb 2026,$7.408b,"$897,112",$5.159b,$1.784b,$100.90,$57.21b,$13.727b,2.88m,109.49m TXs
03 Feb 2026,$7.487b,"$878,891",$5.398b,$1.653b,$104.52,$59.201b,$13.749b,3.1m,99.38m TXs
04 Feb 2026,$7.247b,"$842,875",$5.323b,$1.935b,$97.62,$55.336b,$13.446b,2.76m,96.88m TXs
05 Feb 2026,$6.973b,"$773,998",$6.265b,$2.361b,$92.29,$52.337b,$13.715b,3.26m,103.49m TXs
06 Feb 2026,$6.128b,"$959,463",$6.143b,$1.87b,$78.50,$44.614b,$13.495b,3.14m,99.99m TXs
07 Feb 2026,$6.428b,"$742,765",$4.217b,$1.275b,$87.58,$49.661b,$14.511b,2.7m,84.61m TXs
08 Feb 2026,$6.476b,"$677,545",$3.511b,$1.216b,$87.67,$49.749b,$14.645b,2.39m,85.35m TXs
09 Feb,$6.487b,"$717,391","$62,009",$3.679b,$1.374b,$49.365b,$14.611b,2.72m,86.38m
10 Feb,$6.464b,"$709,044","$59,831",$3.784b,$1.397b,$49.295b,$14.227b,2.84m,89.43m
11 Feb,$6.339b,"$677,411","$57,903",$3.803b,$1.557b,$47.016b,$15.339b,2.61m,87.49m
12 Feb,$6.336b,"$621,768","$55,889",$3.193b,$1.24b,$45.054b,$14.943b,2.43m,86.09m
13 Feb,$6.295b,"$683,507","$58,733",$3.17b,$1.174b,$44.416b,$14.538b,2.24m,79.86m
14 Feb,$6.591b,"$569,992","$58,567",$2.403b,$600.53m,$47.861b,$15.13b,2.23m,74.26m
15 Feb,$6.633b,"599,197","58,643",$2.688b,$791.43m,$50.094b,$15.073b,2.12m,75.73m
16 Feb,$6.612b,"$654,483","$58,651",$2.725b,$994.26m,$48.819b,$15.255b,2.23m,75.29m
17 Feb,$6.629b,"$932,163","$60,000",$2.67b,$1.016b,$49.062b,$15.013b,2.07m,83.51m
18 Feb,$6.572b,"$766,492","$56,721",$2.628b,$1.045b,$48.301b,$15.089b,2.13m,78.27m
19 Feb,$6.426b,"$656,518","$56,940",$2.465b,$993.08m,$46.293b,$15.232b,2.12m,80m
20 Feb,$6.443b,"$753,076","$60,559",$2.317b,$1.043b,$46.789b,$15.062b,2.06m,83.8m
21 Feb,$6.537b,"$637,509","$58,992",$1.456b,$404.95m,$48.005b,$15.211b,2.01m,82m
22 Feb,$6.509b,"$650,348","$54,701",$1.456b,$466.9m,$48.452b,$15.189b,2.21m,83.06m
23 Feb,$6.381b,"$707,122","$57,268",$2.737b,$1.179b,$46.931b,$15.253b,2.25m,88.91m
24 Feb,$6.32b,"$774,673","$60,328",$2.673b,$949.56m,$44.219b,$15.214b,2.36m,89.29m
25 Feb,$6.26b,"$824,956","$67,924",$2.481b,$946.59m,$45.046b,$15.239b,2.67m,98.62m
26 Feb,$6.588b,"$722,706","$61,917",$2.43b,$841.73m,$49.753b,$15.349b,2.29m,86.19m
27 Feb,$6.581b,"$748,432","$61,534",$2.642b,$770.7m,$48.872b,$15.426b,2.3m,92.95m
28 Feb,$6.456b,"$743,545","$66,729",$3.058b,$789.19m,$46.59b,$15.394b,2.17m,92.76m
,,,,,,,,,
,,,,,,,,,
BSC Chain Data,,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions
01 Feb 2026,$6.185b,"$408,419","$40,842",$1.428b,$317.66m,$59.663b,$13.769b,2.62m,15.93m
02 Feb 2026,$6.07b,"$556,469","$55,647",$1.655b,$335.39m,$57.21b,$13.822b,3.14m,17.07m TXs
03 Feb 2026,$6.173b,"$445,942","$44,594",$2.038b,$27.88m,$59.201b,$13.81b,3.24m,16.89m TXs
04 Feb 2026,$6.048b,"$415,402","$41,540",$2.336b,$29.77m,$55.336b,$13.8b,3.23m,17.09m TXs
05 Feb 2026,$5.761b,"$415,256","$41,526",$2.868b,$329.08m,$52.337b,$13.808b,3.39m,19.69m TXs
06 Feb 2026,$5.107b,"$387,565","$38,756",$2.393b,$334.51m,$44.614b,$13.809b,3.26m,17.98m TXs
07 Feb 2026,$5.542b,"$264,818","$26,482",$1.726b,$300.03m,$49.661b,$13.81b,2.88m,14.7m TXs
08 Feb 2026,$5.514b,"$210,408","$21,041",$1.393b,$288.98m,$49.749b,$13.824b,2.82m,14.03m TXs
