Ethereum,,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions,
01 Jun 2026,$41.856b,"$465,685",$1.182b,$1.944b,$241.849b,$162.244b,"521,485",2.00m TXs,
02 Jun 2026,$41.635b,"$608,812",$1.566b,$1.899b,$241.631b,$161.769b,"563,546",1.96m TXs,
03 Jun 2026,$39.279b,"$554,834",$1.709b,$1.892b,$223.998b,$160.639b,"536,423",1.86m TXs,
04 Jun 2026,$38.884b,"$664,930",$1.942b,$1.958b,$218.603b,$160.027b,"458,568",1.77m TXs,
05 Jun 2026,$38.743b,$1.28m,$2.575b,$1.956b,$213.354b,$159.485b,"468,706",1.82m TXs,
06 Jun 2026,$36.25b,"$357,277",$1.441b,$1.906b,$190.675b,$159.069b,"586,382",1.74m TXs,
07 Jun 2026,$36.179b,"$331,084",$837.24m,$1.905b,$189.332b,$158.891b,"452,093",1.61m TXs,
,,,,,,,,,
BSC,,,,,,,,,
Date,TVL,Chain Fees,DEX Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions,
01 Jun 2026,5.743B,"570,554",1.324B,23.46M,95.493B,17.387B,2.60M,18.92M TXs,
02 Jun 2026,5.632B,"437,565",1.227B,16.27M,93.269B,17.274B,2.52M,18.19M TXs,
03 Jun 2026,5.401B,"340,352",1.007B,13.62M,87.600B,17.199B,2.32M,17.21M TXs,
04 Jun 2026,5.259B,"355,442",1.216B,10.03M,83.563B,17.161B,2.30M,17.76M TXs,
05 Jun 2026,5.218B,"462,234",1.560B,8.76M,81.361B,17.111B,2.37M,19.33M TXs,
06 Jun 2026,5.043B,"239,329",0.818B,8.58M,77.088B,17.158B,2.12M,15.92M TXs,
07 Jun 2026,5.061B,"264,864",0.798B,9.91M,77.422B,17.162B,2.07M,15.91M TXs,
,,,,,,,,,
Solana,,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,DEX Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions
01 Jun 2026,5.382B,"$482,389","$55,349",1.721B,5.269B,47.531B,15.238B,2.08M,88.20M TXs
02 Jun 2026,5.281B,"$422,841","$51,312",1.948B,2.129B,46.953B,15.435B,1.95M,85.62M TXs
03 Jun 2026,5.016B,"$356,666","$47,788",2.196B,2.667B,42.794B,15.955B,1.89M,84.13M TXs
04 Jun 2026,4.986B,"$400,169","$50,058",3.703B,4.449B,41.463B,15.555B,1.82M,92.37M TXs
05 Jun 2026,4.930B,"$375,655","$49,715",3.384B,3.111B,39.790B,15.321B,1.66M,94.93M TXs
06 Jun 2026,4.713B,"$269,081","$42,465",1.611B,0.602B,36.704B,15.475B,1.55M,81.54M TXs
07 Jun 2026,4.701B,"$288,317","$44,565",1.296B,0.771B,35.966B,15.612B,1.47M,79.11M TXs
,,,,,,,,,
Tron,,,,,,,,,
Date,TVL ($B),Chain Fees ($),DEX Volume ($M),Perps Volume ($M),Token Mcap ($B),Stablecoins Mcap ($B),Active Addresses (M),Transactions (M TXs),
01 Jun 2026,4.868B,1.29M,67.83M,45.40M,33.265B,90.557B,4.11M,13.37M,
02 Jun 2026,4.780B,1.24M,65.35M,108.38M,32.554B,90.639B,4.33M,13.27M,
03 Jun 2026,4.584B,965.16K,63.87M,81.23M,31.505B,90.637B,4.44M,13.60M,
04 Jun 2026,4.556B,952.52K,81.97M,47.28M,31.562B,90.512B,4.35M,13.21M,
05 Jun 2026,4.513B,1.05M,107.36M,119.94M,31.482B,90.574B,4.62M,14.13M,
06 Jun 2026,4.359B,692.51K,60.13M,48.48M,30.336B,90.557B,4.14M,12.45M,
07 Jun 2026,4.349B,628.23K,58.33M,67.71M,30.710B,90.273B,4.37M,12.17M,
,,,,,,,,,
Bitcoin,,,,,,,,,
Date,TVL,Chain Fees,DEX Volume,Perps Volume,Token Mcap,Active Addresses,Transactions,,
01 Jun 2026,$4.826B,"$251,682","$719,179",$11.48M,$1.475T,"535,317","715,768 TXs",,
02 Jun 2026,$4.656B,"$269,991","$850,882",$16.74M,$1.431T,"703,973","556,953 TXs",,
03 Jun 2026,$4.385B,"$280,538","$879,151",$17.53M,$1.336T,"652,731","435,693 TXs",,
04 Jun 2026,$4.222B,"$253,301",$1.34M,$22.99M,$1.283T,"677,654","426,107 TXs",,
05 Jun 2026,$4.187B,"$241,628",$1.49M,$35.7M,$1.278T,"705,263","589,059 TXs",,
06 Jun 2026,$4.032B,"$174,985",$1.09M,$19.46M,$1.221T,"724,204","568,562 TXs",,
07 Jun 2026,$4.015B,"$148,175","$603,186",$18.23M,$1.22T,"617,500","537,071 TXs",,
,,,,,,,,,
Base,,,,,,,,,
Date,TVL,Chain Fees,DEX Volume,Perps Volume,Stablecoins Mcap,Active Addresses,Transactions,,
01 Jun 2026,$4.399B,$206.34K,$1.35B,$376.51M,$4.668B,473.75K,11.67M TXs,,
02 Jun 2026,$4.307B,$511.93K,$1.711B,$366.27M,$4.657B,449.94K,18.33M TXs,,
03 Jun 2026,$4.107B,$259.90K,$1.653B,$311.68M,$4.668B,440.50K,16.78M TXs,,
04 Jun 2026,$4.020B,$476.44K,$1.887B,$331.29M,$4.706B,451.44K,16.03M TXs,,
05 Jun 2026,$3.990B,$578.36K,$1.913B,$416.30M,$4.739B,438.02K,20.81M TXs,,
06 Jun 2026,$3.842B,$104.00K,$1.153B,$154.95M,$4.764B,400.76K,10.50M TXs,,
07 Jun 2026,$3.818B,$107.54K,$1.289B,$180.40M,$4.790B,320.66K,8.63M TXs,,
