Ethereum,,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions
02 Mar,$52.711b,"$438,810","$71,141",$2.21b,$1.54b,$233.982b,$158.63b,"821,395",2.2m
03 Mar,$54.326b,"$445,055","$62,542",$1.897b,$1.525b,$245.116b,$159.251b,"679,290",2.05m
04 Mar,$53.212b,"$634,179","$87,603",$2.1b,$1.549b,$239.664b,$159.329b,"668,895",2m
05 Mar,$55.778b,"$377,639","$47,576",$1.722b,$1.532b,$256.536b,$159.395b,"762,928",2.17m
06 Mar,$56.016b,"$325,119","$47,638",$1.277b,$1.45b,$250.412b,$160.286b,"743,486",2.08m
07 Mar,$54.324b,"$178,520","$17,136",$1.076b,$1.239b,$239.165b,$160.463b,"619,628",1.91m
08 Mar,$54.72b,"$211,847","$16,301",$1.026b,$1.325b,$237.705b,$160.563b,"520,241",1.72m
,,,,,,,,,
Solana,,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions
02 Mar,$6.538b,"$735,084","64,754",$2.581b,$884.55m,$47.681b,$15.422b,2.07m,93.51m
03 Mar,$6.698b,"$671,420","62,723",$2.567b,$1.013b,$49.383b,$15.558b,2.21m,87.79m
04 Mar,$6.592b,"$769,321","70,534",$2.816b,$1.164b,$49.735b,$15.384b,2.26m,94.13m
05 Mar,$6.884b,"$655,619","65,615",$2.579b,$903.35m,$51.872b,$15.537b,2.34m,86.85m
06 Mar,$6.762b,"$706,432","62,799",$2.509b,$847.47m,$50.590b,$15.356b,2.37m,87.75m
07 Mar,$6.602b,"$566,278","56,939",$969.91m,$355.23m,$48.277b,$15.447b,2.01m,81.92m
08 Mar,$6.545b,"$578,016","58,630",$1.832b,$550.04m,$47.465b,$15.408b,1.89m,82.92m
,,,,,,,,,
BSC,,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Stablecoins Mcap,Active Addresses,Transactions,
02 Mar,$5.674b,"$306,798","30,680",$1.245b,$180.73m,$13.762b,2.7m,16.03m,
03 Mar,$5.617b,"$306,546","30,655",$1.022b,$262.75m,$13.751b,2.63m,14.82m,
04 Mar,$5.639b,"$366,856","36,686",$1.135b,$289.92m,$13.743b,2.82m,15.18m,
05 Mar,$5.957b,"$301,329","$30,133",$1.012b,$283.26m,$13.74b,2.92m,15.8m,
06 Mar,$5.969b,"$247,982","24,798",$1.007b,$276.11m,$13.747b,2.68m,14.36m,
07 Mar,$5.849b,"$207,032","20,703",$645.38m,$257.06m,$13.741b,2.41m,12.84m,
08 Mar,$5.808b,"$210,956","21,096",$842.16m,$255.24m,$13.744b,2.33m,12.53m,
,,,,,,,,,
BITCOIN,,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,Active Addresses,,,
02 Mar 2026,$4.292b,"$183,785","650,961",$14.74m,$1.314t,"690,831",,,
03 Mar 2026,$4.499b,"$184,648",$1.09m,$18.65m,$1.378t,"652,464",,,
04 Mar 2026,$4.449b,"$220,504",$1.31m,$27.95m,$1.367t,"697,294",,,
05 Mar 2026,$4.709b,"$195,354",$1.17m,$21.04m,$1.453t,"686,708",,,
06 Mar 2026,$4.578b,"$199,746","$739,134",$15.73m,$1.418t,"672,019",,,
07 Mar 2026,$4.405b,"$148,713","$428,312",$9.08m,$1.364t,"592,224",,,
08 Mar 2026,$4.382b,"$130,876","$445,245",$12.17m,$1.345t,"523,172",,,
,,,,,,,,,
TRON,,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions
02 Mar,$3.99b,$1.1m,$1.1m,$32.23m,$100.21m,$26.594b,$86.155b,3.28m,11.57m
03 Mar,$4.048b,$1.13m,$1.13m,$52.16m,$104.34m,$26.838b,$86.128b,3.34m,11.41m
04 Mar,$3.998b,$1.02m,$1.02m,$70.32m,$116.65m,$26.578b,$86.168b,3.31m,11.34m
05 Mar,$4.157b,$1.02m,$1.02m,$73.37m,$111.16m,$27.2b,$86.178b,3.23m,11.28m
06 Mar,$4.113b,$1m,$1m,$52.58m,$166.51m,$27.016b,$86.724b,3.33m,11.46m
07 Mar,$4.052b,"708,229","$708,229",$26.47m,$71.78m,$26.971b,$86.721b,3.12m,10.32m
08 Mar,$4.004b,"$649,346","649,346",$41.47m,$76.87m,$27.15b,$86.719b,3.01m,9.96m
,,,,,,,,,
BASE,,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Stablecoins Mcap,Active Addresses,Transactions,
02 Mar,$3.834b,"$176,496","176,187",$1.204b,$528.26m,$4.64b,"423,470",10.69m,
03 Mar,$3.969b,"$132,427","132,134",$1.062b,$404.46m,$4.728b,"476,368",10.65m,
04 Mar,$3.924b,"$163,581","163,227",$1.129b,$485.39m,$4.725b,"500,350",11.46m,
05 Mar,$4.194b,"$105,461","$105,161",$833.66m,$563.9m,$4.84b,"589,697",10.4m,
06 Mar,$4.124b,"$86,138","$85,876",$719.84m,$679.22m,$4.812b,"506,736",9.51m,
07 Mar,$3.992b,"$66,308","$66,084",$342.45m,$380.79m,$4.79b,"421,154",9.18m,
08 Mar,$3.977b,"$83,731","$83,507",$625.26m,$490.79m,$4.792b,"382,086",9.28m,
