Ethereum,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,Active Addresses,Transactions,Stablecoins Mcap
01 Mar,$53.232b,"$345,100",$1.726b,$1.458b,$237.26b,"590,346",1.88m TXs,$159.111b
02 Mar,$52.711b,"$438,810",$2.21b,$1.54b,$233.982b,"821,395",2.2m,$158.63b
03 Mar,$54.326b,"$445,055",$1.897b,$1.525b,$245.116b,"679,290",2.05m,$159.251b
04 Mar,$53.212b,"$634,179",$2.1b,$1.549b,$239.664b,"668,895",2m,$159.329b
05 Mar,$55.778b,"$377,639",$1.722b,$1.532b,$256.536b,"762,928",2.17m,$159.395b
06 Mar,$56.016b,"$325,119",$1.277b,$1.45b,$250.412b,"743,486",2.08m,$160.286b
07 Mar,$54.324b,"$178,520",$1.076b,$1.239b,$239.165b,"619,628",1.91m,$160.463b
08 Mar,$54.72b,"$211,847",$1.026b,$1.325b,$237.705b,"520,241",1.72m,$160.563b
09 Mar,$53.751b,"$315,803",$1.739b,$1.596b,$234.131b,"$690,747.00",2.11m,$160.582b
10 Mar,$54.777b,"$320,403",$1.892b,$1.541b,$240.569b,"$775,867.00",2.24m,$161.32b
11 Mar,$54.753b,"$306,879",$983.13m,$1.442b,$245.646b,"$752,457.00",2.15m,$161.481b
12 Mar,$55.633b,"$504,900",$1.979b,$1.475b,$247.646b,"$834,454.00",2.21m,$161.563b
13 Mar,$56.848b,"$422,513",$2.081b,$1.52b,$250.637b,"$722,625.00",2.19m,$162.124b
14 Mar,$56.309b,"$176,222",$517.13m,$1.276b,$252.502b,"$795,162.00",2.01m,$162.475b
15 Mar,$56.638b,"$211,114",$948.12m,$1.377b,$253.1b,"$561,586.00",1.76m,$162.463b
16 Mar,$57.883b,"$447,905",$1.61b,$1.602b,$262.512b,"650,005",2.19m,$162.531b
17 Mar,$59.694b,"$307,688",$1.356b,$1.488b,$283.736b,"694,154",2.47m,$163.016b
18 Mar,$59.522b,"$311,631",$1.374b,$1.522b,$279.844b,"880,163",2.64m,$165.059b
19 Mar,$56.919b,"$312,733",$1.446b,$1.488b,$266.108b,1.01m,2.68m,$164.967b
20 Mar,$55.585b,"$267,338",$1.366b,$1.332b,$258.059b,"658,211",2.45m,$164.524b
21 Mar,$56.347b,"$135,014",$680.42m,$929.28m,$259.209b,"566,469",2.18m,$164.567b
22 Mar,$55.862b,"$712,759",$1.6b,$1.113b,$251.826b,"489,600",1.89m,$164.484b
23 Mar 2026,$54.837b,"$476,690",$1.663b,$1.564b,$247.826b,"648,045",2.53m,$164.458b
24 Mar,$56.254b,"$289,747",$904.37m,$1.525b,$259.555b,"680,777",2.59m,$164.078b
25 Mar,$55.761b,"$257,734",$1.064b,$1.517b,$260.197b,"605,542",2.09m,$163.75b
26 Mar,$56.12b,"$394,355",$1.009b,$1.497b,$261.687b,"651,374",2.48m,$163.991b
27 Mar,$54.093b,"$364,514",$1.234b,$1.313b,$248.55b,"554,910",2.69m,$163.561b
28 Mar,$52.69b,"$203,394",$609.89m,$1.216b,$240.35b,"509,477",2.52m,$163.422b
29 Mar,$52.678b,"$218,934",$765.41m,$1.217b,$240.522b,"436,925",1.83m,$163.381b
30 Mar 2026,$52.592b,"$281,891",$1.073b,$1.358b,$239.326b,"623,236",2.3m TXs,$163.313B
31 Mar 2026,$52.492b,"$395,036",$1.17b,$1.397b,$244.31b,"777,536",2.64m TXs,$163.7B
,,,,,,,,
Solana,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,,
01 Mar,$6.636b,"$640,243",$2.245b,$626.05m,$48.078b,$15.365b,,
02 Mar,$6.538b,"$735,084",$2.581b,$884.55m,$47.681b,$15.422b,,
03 Mar,$6.698b,"$671,420",$2.567b,$1.013b,$49.383b,$15.558b,,
04 Mar,$6.592b,"$769,321",$2.816b,$1.164b,$49.735b,$15.384b,,
05 Mar,$6.884b,"$655,619",$2.579b,$903.35m,$51.872b,$15.537b,,
06 Mar,$6.762b,"$706,432",$2.509b,$847.47m,$50.590b,$15.356b,,
07 Mar,$6.602b,"$566,278",$969.91m,$355.23m,$48.277b,$15.447b,,
08 Mar,$6.545b,"$578,016",$1.832b,$550.04m,$47.465b,$15.408b,,
09 Mar,$6.392b,"$670,102",$2.353b,$1.023b,$46.643b,$15.42b,,
10 Mar,$6.638b,"$652,881",$2.298b,$1.068b,$48.507b,$15.574b,,
11 Mar,$6.59b,"$708,010",$2.246b,$1.03b,$48.936b,$15.644b,,
12 Mar,$6.671b,"$698,408",$2.195b,$1.23b,$49.494b,$15.781b,,
13 Mar,$6.91b,"$685,910",$2.88b,$1.098b,$49.675b,$15.598b,,
14 Mar,$6.845b,"$574,334",$1.811b,$288.22m,$50.341b,$15.668b,,
15 Mar,$7.011b,"$601,926",$2.168b,$562.96m,$50.302b,$15.694b,,
16 Mar,$7.137b,"$741,450",$2.211b,$1.329b,$52.658b,$15.671b,,
17 Mar,$7.262b,"$647,176",$2.032b,$1.177b,$54.991b,$15.295b,,
18 Mar,$7.01b,"$539,437",$2.226b,$1.04b,$54.152b,$15.347b,,
19 Mar,$6.931b,"$537,106",$1.692b,$1.347b,$51.451b,$15.132b,,
20 Mar,$6.856b,"$518,138",$1.612b,$899.2m,$50.783b,$14.996b,,
21 Mar,$6.89b,"$452,516",$1.057b,$321.52m,$51.387b,$15.146b,,
22 Mar,$6.768b,"$443,083",$1.375b,$562.84m,$50.428b,$15.179b,,
23 Mar,$6.665b,"$621,301",$2.651b,$2.222b,$49.328b,$15.292b,,
24 Mar,$6.759b,"$609,617",$1.741b,$1.088b,$52.255b,$15.11b,,
25 Mar,$6.653b,"$627,930",$1.598b,$1.118b,$52.004b,$15.273b,,
26 Mar,$6.67b,"$561,528",$1.597b,$1.026b,$52.443b,$15.25b,,
27 Mar,$6.547b,"$521,693",$1.499b,$825.56m,$49.416b,$15.005b,,
28 Mar,$6.402b,"$432,134",$1.075b,$408.63m,$47.482b,$14.907b,,
29 Mar,$6.35b,"$422,753",$1.265b,$547.8m,$46.946b,$14.878b,,
30 Mar 2026,$6.192b,"$825,310",$1.998b,$1.177b,$46.566b,$14.933b,,
31 Mar 2026,$6.164b,"$558,163",$1.963b,$1.684b,$47.208b,$14.877b,,
,,,,,,,,
BSC,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Stablecoins Mcap,Active Addresses,Transactions,
01 Mar,$5.681b,"$246,719",$1.117b,$374.81m,$13.758b,2.68m,14.98m TXs,
02 Mar,$5.674b,"$306,798",$1.245b,$180.73m,$13.762b,2.7m,16.03m,
03 Mar,$5.617b,"$306,546",$1.022b,$262.75m,$13.751b,2.63m,14.82m,
