Ethereum ,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,Active Addresses
4 May 2026,$45.807b,"$854,246",$1.638b,$1.496b,$280.473b,"486,580"
05 May 2026,$45.65b,"$477,446",$1.269b,$1.48b,$283.101b,"624,004"
6 May 2026,$45.908b,"$761,667",$1.307b,$1.613b,$284.953b,"641,098"
07 May 2026,$45.755b,"$966,658",$1.617b,$1.611b,$283.646b,"568,422"
08 May 2026,$45.388b,$1.31m,$1.934b,$1.604b,$276.517b,"472,838"
09 May 2026,$45.473b,"$429,779",$1.119b,$1.344b,$278.346b,"565,008"
10 May 2026,$45.467b,"$632,432",$957.22m,$1.447b,$280.5B,"496,655"
,,,,,,
Solana,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,
04 May 2026,$5.496b,"$468,367",$1.752b,$1.465b,$15.386b,
05 May 2026,$5.452b,"$467,279",$1.409b,$1.586b,$16.631b,
06 May 2026,$5.528b,"$519,645",$1.56b,$2.064b,$16.499b,
07 May 2026,$5.608b,"$534,360",$1.672b,$1.75b,$14.979b,
08 May 2026,$5.583b,"$598,105",$1.956b,$2.339b,$15.918b,
09 May 2026,$5.735b,"$472,065",$1.359b,$1.301b,$15.949b,
10 May 2026,$5.794b,"$477,960",$1.21b,$1.325b,$15.35B,
,,,,,,
BSC,,,,,,
Date,TVL,DEXs Volume,Perps Volume,Active Addresses,Transactions,
04 May 2026,$5.474b,$934.56m,$273.72m,2.74m,15.92m TXs,
5 May 2026,$5.534b,$650.11m,$273.99m,2.86m,15.22m TXs,
6 May 2026,$5.583b,$793.13m,$275.54m,2.8m,16.22m TXs,
7 May,$5.585b,$672.57m,$272.57m,2.79m,16.06m TXs,
08 May 2026,$5.522b,$614.44m,$277.27m,2.86m,15.86m TXs,
09 May 2026,$5.607b,$528.66m,$262.08m,2.5m,14.46m TXs,
10 May 2026,$5.602b,$558.05m,$266.62m,2.4m,13.58m TXs,
,,,,,,
Bitcoin,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,Active Addresses
4 May 2026,$5.24b,"$201,942","$637,092",$13.54m,$1.573t,"583,469"
5 May 2026,$5.333b,"$227,609","$400,958",$10.62m,$1.598t,"722,079"
06 May 2026,$5.41b,"$228,792","$338,516",$10.62m,$1.621t,"727,700"
07 May,$5.428b,"$245,413","$378,411.00",$10.14m,$1.631t,"727,700"
08 May 2026,$5.337b,"$233,762","$296,677",$9.39m,$1.603t,"759,390"
09 May 2026,$5.271b,"$582,109","$210,911",$8.45m,$1.606t,"677,277"
10 May 2026,$5.294b,"$176,258","$363,495",$11.58m,$1.63t,"818,423"
,,,,,,
TRON,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,,
04 May 2026,$5.159b,$1.15m,$52.37m,$269.91m,,
05 May 2026,$5.188b,$1.12m,$69.82m,$119.6m,,
06 May 2026,$5.187b,$1.2m,$55.38m,$195.95m,,
07 May 2026,$5.195b,$1.13m,$76.92m,$603.11m,,
08 May 2026,$5.164b,$1.09m,$49.56m,$104.67m,,
09 May 2026,$5.134b,"$816,260",$57.05m,$86.86m,,
10 May 2026,$5.162b,"$739,431",$32.95m,$97.68m,,
,,,,,,
Base,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Active Addresses,
4 May 2026,$4.535b,"$120,244",$1.215b,$331.5m,"514,285",
5 May 2026,$4.588b,"$104,326",$920.79m,$245.65m,"458,560",
06 May 2026,$4.64b,"$131,655",$926.6m,$328.37m,"501,523",
7 May,$4.633b,"$100,812",$801.9m,$212.17m,"504,421",
08 May 2026,$4.569b,"$92,078",$775.93m,$205.4m,"490,660",
09 May 2026,$4.532b,"$57,721",$542.03m,$138.15m,"436,778",
10 May 2026,$4.579b,"$71,885",$734.54m,$179.29m,"408,093",
