Ethereum,,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions
11 May 2026,$46.093b,$1.06m,"$399,383",$1.182b,$1.605b,$285.964b,$166.507b,"522,193",1.98m TXs
12 May 2026,$45.796b,"$819,597","$283,071",$1.384b,$1.611b,$282.37b,$165.809b,"590,766",2m TXs
13 May 2026,$45.205b,"$546,976","$139,950",$1.391b,$1.618b,$274.513b,$165.226b,"675,221",2.34m TXs
14 May 2026,$44.913b,"$564,189","$191,995",$1.698b,$1.61b,$272.478b,$165.059b,"520,517",2m TXs
15 May 2026,$45.354b,"$969,826","$551,346",$1.41b,$1.515b,$275.345b,$164.331b,"535,595",1.81m TXs
16 May 2026,$44.586b,"$415,752","$113,421",$886.99m,$1.285b,$268.397b,$165.425b,"524,045",2m TXs
17 May 2026,$44.074b,"$290,386","$86,597",$661.64m,$1.301b,$263.107b,$165.824b,"465,418",1.98m TXs
,,,,,,,,,
Solana,,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Transactions,
11 May 2026,$5.902b,"$638,221","$63,415",$1.926b,$2.519b,$55.729b,$14.702b,76.86m TXs,
12 May 2026,$5.9b,"$595,098","$62,900",$1.874b,$2.315b,$56.222b,$15.515b,78.33m TXs,
13 May 2026,$6.192b,"$558,751","$61,248",$1.593b,$3.454b,$54.5b,$15.986b,79.33m TXs,
14 May 2026,$6.054b,"$509,857","$61,054",$1.77b,$4.678b,$52.624b,$15.641b,79.25m TXs,
15 May 2026,$6.095b,"$465,033","$58,844",$1.701b,$5.295b,$53.275b,$16.358b,78.91m TXs,
16 May 2026,$5.973b,"$431,709","$55,995",$1.187b,$744.66m,$51.578b,$15.873b,75.61m TXs,
17 May 2026,$5.975b,"$384,232","$53,733",$736.95m,$1.355b,$50.02b,$15.733b,71.99m TXs,
,,,,,,,,,
BSC,,,,,,,,,
Date,TVL,DEXs Volume,Perps Volume,Stablecoins Mcap,Active Addresses,Transactions,,,
11 May 2026,$5.68b,$653.11m,$265.39m,$17.86b,2.63m,15.16m TXs,,,
12 May 2026,$5.668b,$605.55m,$266.96m,$17.853b,2.55m,14.7m TXs,,,
13 May 2026,$5.653b,$782.9m,$247.26m,$17.851b,2.63m,16.35m TXs,,,
14 May 2026,$5.661b,$823.76m,$259.88m,$17.868b,2.58m,16.75m TXs,,,
15 May 2026,$5.707b,$700m,$246.15m,$17.854b,2.7m,16.19m TXs,,,
