Ethereum,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token MCap,Stablecoins MCap,Active Addresses,Transactions
25 May 2026,$42.622B,"$262,730",$1.135B,$1.664B,$253.224B,$164.087B,"461,009",2.25M TXs
26 May 2026,$43.019B,"$344,935",$1.012B,$1.812B,$254.706B,$164.201B,"453,932",2.4M TXs
27 May 2026,$42.128B,"$360,390",$1.154B,$1.812B,$249.887B,$163.736B,"473,321",2.2M TXs
28 May 2026,$42.278B,"$561,478",$1.354B,$1.903B,$244.029B,$163.251B,"488,936",2.0M TXs
29 May 2026,$42.355B,"$366,877",$1.083B,$1.824B,$242.252B,$162.780B,"656,783",2.33M TXs
30 May 2026,$41.703B,"$243,887",$506.83M,$1.460B,$242.818B,$162.420B,"504,667",2.69M TXs
31 May 2026,$42.090B,"$255,201",$578.72M,$1.686B,$243.678B,$162.318B,"474,885",2.14M TXs
,,,,,,,,
Solana,,,,,,,,
Date,TVL,DEXs Volume,Perps Volume,Token MCap,Stablecoins MCap,Active Addresses,Transactions,
25 May 2026,$5.448B,$1.001B,$858.33M,$49.312B,$15.191B,1.96M,73.97M,
26 May 2026,$5.44B,$1.346B,$1.13B,$49.127B,$15.149B,1.97M,79.34M,
27 May 2026,$5.387B,$1.069B,$1.711B,$48.369B,$15.388B,1.92M,78.3M,
28 May 2026,$5.289B,$1.527B,$2.361B,$47.587B,$15.392B,1.97M,77.39M,
29 May 2026,$5.226B,$1.488B,$2.041B,$47.385B,$15.067B,1.78M,78.46M,
30 May 2026,$5.345B,$951.97M,$618.07M,$47.394B,$15.27B,1.94M,71.16M,
31 May 2026,$5.371B,$738.07M,$1.633B,$47.738B,$15.243B,1.64M,75.71M,
,,,,,,,,
BSC,,,,,,,,
Date,TVL,DEXs Volume,Perps Volume,Stablecoins Mcap,Active Addresses,Transactions,,
25 May 2026,$5.606B,$696.78M,$20.52M,$17.448B,2.46M,14.9M TXs,,
26 May 2026,$5.623B,$711.44M,$22.62M,$17.441B,2.53M,15.06M TXs,,
27 May 2026,$5.569B,$656.19M,$16.52M,$17.442B,2.61M,15.78M TXs,,
28 May 2026,$5.515B,$795.28M,$22.19M,$17.44B,2.63M,16.13M TXs,,
29 May 2026,$5.451B,$706M,$21.24M,$17.425B,2.47M,16.62M TXs,,
30 May 2026,$5.486B,$912.65M,$8.58M,$17.395B,2.17M,15.56M TXs,,
31 May 2026,$5.773B,$914.5M,$7.34M,$17.393B,2.19M,15.92M TXs,,
,,,,,,,,
Tron,,,,,,,,
Date,TVL (USD),Token Market Cap (USD),Stablecoins Market Cap (USD),Active Addresses,Transactions,,,
25 May 2026,$5.112B,$34.616B,$90.798B,4.35M,12.98M,,,
26 May 2026,$5.165B,$35.251B,$90.757B,4.34M,12.99M,,,
27 May 2026,$5.169B,$35.591B,$90.763B,4.08M,12.47M,,,
28 May 2026,$5.042B,$34.887B,$90.760B,4.19M,12.67M,,,
29 May 2026,$4.891B,$33.415B,$90.727B,4.06M,12.43M,,,
30 May 2026,$4.845B,$32.605B,$90.742B,3.89M,11.61M,,,
31 May 2026,$4.858B,$32.954B,$90.741B,3.98M,11.49M,,,
,,,,,,,,
Bitcoin,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,Active Addresses,Transactions,
25 May 2026,$5.093B,"$213,161","$614,908",$8.37M,$1.542T,"488,204","627,984",
26 May 2026,$5.084B,"$258,615","$515,030",$9.95M,$1.548T,"608,973","626,622",
27 May 2026,$5.007B,"$224,234","$449,951",$9.93M,$1.519T,"625,482","626,622",
28 May 2026,$4.907B,"$254,025","$623,551",$11.05M,$1.489T,"608,435","783,577",
29 May 2026,$4.821B,"$287,294","$468,637",$9.52M,$1.473T,"622,022","783,577",
30 May 2026,$4.800B,"$221,579","$379,496",$7.47M,$1.470T,"669,839","634,214",
31 May 2026,$4.831B,"$206,780","$349,963",$7.80M,$1.478T,"573,532","657,986",
,,,,,,,,
Base,,,,,,,,
Date,TVL,DEXs Volume,Perps Volume,Stablecoins Mcap,Active Addresses,Transactions,,
25 May 2026,$4.506B,$968.66M,$167.51M,$4.722B,"458,583",9.00M TXs,,
26 May 2026,$4.520B,$1.263B,$263.56M,$4.736B,"468,146",10.03M TXs,,
27 May 2026,$4.466B,$1.295B,$250.37M,$4.717B,"495,359",12.92M TXs,,
28 May 2026,$4.399B,$1.251B,$365.35M,$4.673B,"440,877",12.68M TXs,,
29 May 2026,$4.377B,$1.156B,$335.80M,$4.683B,"434,416",8.81M TXs,,
30 May 2026,$4.386B,$775.26M,$163.76M,$4.681B,"354,476",7.38M TXs,,
31 May 2026,$4.405B,$810.68M,$171.69M,$4.664B,"379,823",7.72M TXs,,
