Ethereum ,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,Active Addresses
1 May 2026,$45.095b,"$685,902",$1.136b,$1.338b,$272.336b,"513,802"
2 May 2026,$45.188b,"$449,195",$582.13m,$1.09b,$276.769b,"387,640"
03 May 2026,$45.749b,"$487,690",$676.16m,$1.192b,$279.471b,"400,308"
4 May 2026,$45.807b,"$854,246",$1.638b,$1.496b,$280.473b,"486,580"
05 May 2026,$45.65b,"$477,446",$1.269b,$1.48b,$283.101b,"624,004"
6 May 2026,$45.908b,"$761,667",$1.307b,$1.613b,$284.953b,"641,098"
07 May 2026,$45.755b,"$966,658",$1.617b,$1.611b,$283.646b,"568,422"
08 May 2026,$45.388b,$1.31m,$1.934b,$1.604b,$276.517b,"472,838"
09 May 2026,$45.473b,"$429,779",$1.119b,$1.344b,$278.346b,"565,008"
10 May 2026,$45.467b,"$632,432",$957.22m,$1.447b,$280.5B,"496,655"
11 May 2026,$46.093b,$1.06m,$1.182b,$1.605b,$285.964b,"522,193"
12 May 2026,$45.796b,"$819,597",$1.384b,$1.611b,$282.37b,"590,766"
13 May 2026,$45.205b,"$546,976",$1.391b,$1.618b,$274.513b,"675,221"
14 May 2026,$44.913b,"$564,189",$1.698b,$1.61b,$272.478b,"520,517"
15 May 2026,$45.354b,"$969,826",$1.41b,$1.515b,$275.345b,"535,595"
16 May 2026,$44.586b,"$415,752",$886.99m,$1.285b,$268.397b,"524,045"
17 May 2026,$44.074b,"$290,386",$661.64m,$1.301b,$263.107b,"465,418"
18 May 2026,$43.256B,"$439,655",$1.411B,$1.573B,$256.819B,"550,492"
19 May 2026,$43.315B,"$312,770",$885.83M,$1.396B,$256.879B,"541,227"
20 May 2026,$42.702B,"$590,807",$1.284B,$1.658B,$254.884B,"517,835"
21 May 2026,$42.966B,"$320,723",$1.027B,$1.838B,$256.734B,"501,296"
22 May 2026,$43.101B,"$322,962",$1.085B,$1.822B,$257.402B,"518,893"
23 May 2026,$42.223B,"$247,739",$918.44M,$1.777B,$249.169B,"445,318"
24 May 2026,$42.947B,"$240,372",$527.39M,$1.710B,$255.409B,"399,012"
25 May 2026,$42.622B,"$262,730",$1.135B,$1.664B,$253.224B,"461,009"
26 May 2026,$43.019B,"$344,935",$1.012B,$1.812B,$254.706B,"453,932"
