Ethereum,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token MCap,Stablecoins MCap,Active Addresses,Transactions
15 Jun 2026,$38.511B,"$392,459",$1.43B,$1.865B,$208.128B,$157.806B,"7,366","24,681"
16 Jun 2026,$38.872B,"$313,796",$1.057B,$1.825B,$216.492B,$158.429B,"6,387","24,580"
17 Jun 2026,$39.703B,"$382,370",$1.185B,$1.782B,$216.146B,$158.355B,"7,266","22,489"
18 Jun 2026,$39.051B,"$362,855",$1.22B,$1.657B,$210.946B,$158.130B,"7,821","25,564"
19 Jun 2026,$38.510B,"$240,865",$701.89M,$1.816B,$206.343B,$157.808B,"8,553","26,584"
20 Jun 2026,$38.640B,"$215,890",$727.30M,$1.622B,$205.852B,$157.795B,"7,941","29,403"
21 Jun 2026,$38.930B,"$159,514",$514.13M,$1.616B,$209.883B,$157.837B,"7,449","22,276"
,,,,,,,,
BSC,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token MCap,Stablecoins MCap,Active Addresses,Transactions
15 Jun 2026,$5.323B,"$319,123",$773.57M,$8.66M,$83.064B,$17.661B,"94,592","530,127"
16 Jun 2026,$5.348B,"$288,083",$674.45M,$11.1M,$83.172B,$17.726B,"90,481","503,353"
17 Jun 2026,$5.280B,"$360,993",$836.47M,$12.24M,$81.531B,$17.738B,"94,948","531,114"
18 Jun 2026,$5.195B,"$291,975",$652.75M,$14.8M,$81.003B,$17.732B,"91,787","496,338"
19 Jun 2026,$5.108B,"$220,861",$560.99M,$13.42M,$77.920B,$17.761B,"86,151","479,651"
20 Jun 2026,$5.102B,"$246,452",$447.74M,$4.97M,$78.180B,$17.756B,"83,734","469,580"
21 Jun 2026,$5.130B,"$191,241",$453.54M,$5.04M,$79.203B,$17.760B,"85,649","466,410"
,,,,,,,,
Solana,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,,
15 Jun 2026,$4.883b,"$404,439",$1.657b,$1.763b,$41.224b,$15.717b,,
16 Jun 2026,$4.915b,"$425,706",$1.537b,$1.767b,$42.87b,$15.541b,,
17 Jun 2026,$4.925b,"$388,254",$1.61b,$1.947b,$42.619b,$15.367b,,
18 Jun 2026,$4.808b,"$378,519",$1.487b,$1.906b,$41.747b,$15.367b,,
19 Jun 2026,$4.778b,"$359,958",$1.312b,$1.194b,$40.381b,$15.673b,,
20 Jun 2026,$4.772b,"$339,899",$1.293b,$615.42m,$40.261b,$15.743b,,
21 Jun 2026,$4.903b,"$323,410",$1.028b,$681.74m,$42.487b,$15.794b,,
,,,,,,,,
Tron,,,,,,,,
Date,TVL (Billion USD),Chain Fees (USD),DEXs Volume (Million USD),Perps Volume (Million USD),Token Mcap (Billion USD),Stablecoins Mcap (Billion USD),,
15 Jun 2026,$4.552B,$1.27M,$44.16M,$42.60M,$30.342B,$89.662B,,
16 Jun 2026,$4.588B,"$991,709",$30.17M,$46.52M,$30.213B,$89.646B,,
17 Jun 2026,$4.583B,"$936,910",$50.14M,$79.10M,$30.026B,$89.646B,,
18 Jun 2026,$4.597B,"$941,815",$42.68M,$47.12M,$30.481B,$89.556B,,
19 Jun 2026,$4.552B,"$835,786",$39.98M,$34.52M,$30.384B,$89.871B,,
20 Jun 2026,$4.556B,"$653,598",$37.44M,$32.18M,$30.678B,$89.848B,,
21 Jun 2026,$4.621B,"$604,935",$20.07M,$63.60M,$30.947B,$89.951B,,
,,,,,,,,
Base,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Stablecoins Mcap,Active Addresses,Transactions,
15 Jun 2026,$4.18B,"$84,608",$1.14B,$188.21M,$4.857B,"2,318","14,249",
16 Jun 2026,$4.261B,"$82,652",$1.019B,$159.71M,$4.909B,"2,842","16,378",
17 Jun 2026,$4.302B,"$101,794",$1.135B,$199.93M,$4.921B,"3,612","20,080",
18 Jun 2026,$4.213B,"$71,576",$1.034B,$238.29M,$4.872B,"4,031","20,420",
19 Jun 2026,$4.151B,"$59,493",$631.54M,$205.47M,$4.872B,"3,748","17,364",
20 Jun 2026,$4.183B,"$55,123",$695.62M,$141.03M,$4.872B,"2,270","13,833",
21 Jun 2026,$4.226B,"$44,254",$573.72M,$158.37M,$4.877B,"1,926","12,170",
,,,,,,,,
Bitcoin,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,,,
15 Jun 2026,$4.332b,"$243,477","$386,049",$11.22m,$1.317t,,,
16 Jun 2026,$4.374b,"$219,307","$477,168",$10.57m,$1.329t,,,
17 Jun 2026,$4.333b,"$214,157","$503,369",$13.75m,$1.315t,,,
18 Jun 2026,$4.251b,"$217,746","$443,747",$10.22m,$1.291t,,,
19 Jun 2026,$4.136b,"$203,876","$338,232",$8.16m,$1.261t,,,
20 Jun 2026,$4.182b,"$183,011","$415,789",$8.70m,$1.269t,,,
21 Jun 2026,$4.223b,"$146,159","$358,352",$7.09m,$1.288t,,,
