Ethereum,,,,,,,
Date,TVL,DEXs Volume,Perps Volume,Token MCap,Stablecoins MCap,Active Addresses,Transactions
22 Jun 2026,$38.276B,$828.87M,$1.765B,$205.716B,$158.069B,"566,659",2.84M
23 Jun 2026,$38.930B,$981.46M,$1.805B,$208.388B,$158.080B,"513,635",2.89M
24 Jun 2026,$38.091B,$1.142B,$1.803B,$201.004B,$157.674B,"636,580",2.70M
25 Jun 2026,$37.120B,$1.098B,$1.758B,$195.075B,$157.771B,"565,024",2.68M
26 Jun 2026,$36.960B,$1.125B,$1.528B,$188.875B,$157.906B,"599,759",2.32M
27 Jun 2026,$37.158B,$391.38M,$1.352B,$190.218B,$156.627B,"379,906",1.44M
28 Jun 2026,$37.426B,$459.87M,$1.343B,$189.698B,$156.615B,"380,719",1.46M
,,,,,,,
BSC,,,,,,,
Date,TVL,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions
22 Jun 2026,$5.106b,$630.18m,$11.19m,$78.654b,$17.76b,2.27m,15.39m TXs
23 Jun 2026,$5.131b,$660.41m,$7m,$79.457b,$17.817b,2.14m,14.44m TXs
24 Jun 2026,$5.072b,$827.7m,$28.04m,$77.841b,$17.812b,2.26m,15.79m TXs
25 Jun 2026,$4.992b,$769.4m,$28.17m,$75.896b,$17.81b,2.21m,15.34m TXs
26 Jun 2026,$4.966b,$719.71m,$27.07m,$75.452b,$17.814b,2.24m,15.46m TXs
27 Jun 2026,$4.969b,$441.03m,$29.14m,$76.418b,$17.776b,1.94m,18.48m TXs
28 Jun 2026,$4.946b,$467.83m,$31.13m,$74.998b,$17.773b,1.82m,14.02m TXs
,,,,,,,
Solana,,,,,,,
Date,TVL,DEXs Volume,Perps Volume,Token MCap,Stablecoins MCap,Active Addresses,Transactions
22 Jun 2026,$4.909B,$2.134B,$1.603B,$42.061B,$15.759B,1.92M,85.19M TXs
23 Jun 2026,$4.841B,$2.399B,$1.645B,$41.689B,$15.794B,2.03M,88.86M TXs
24 Jun 2026,$4.787B,$3.149B,$2.13B,$40.403B,$15.805B,2.07M,96.15M TXs
25 Jun 2026,$4.705B,$2.551B,$1.895B,$39.41B,$15.408B,2.17M,98.01M TXs
26 Jun 2026,$4.655B,$2.774B,$2.19B,$39.263B,$15.464B,2.25M,99.06M TXs
27 Jun 2026,$4.823B,$1.16B,$484.62M,$41.71B,$15.607B,1.93M,84.01M TXs
28 Jun 2026,$4.745B,$1.412B,$851.94M,$40.916B,$15.603B,1.94M,101.52M TXs
,,,,,,,
Tron,,,,,,,
Date,TVL,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions
22 Jun 2026,$4.621b,$42.99m,$156.05m,$31.024b,$89.802b,3.93m,12.48m TXs
23 Jun 2026,$4.663b,$36.74m,$75.07m,$31.627b,$89.688b,4.07m,12.85m TXs
24 Jun 2026,$4.615b,$40.71m,$90.63m,$31.194b,$89.661b,3.91m,12.26m TXs
25 Jun 2026,$4.533b,$57.61m,$39.59m,$30.999b,$89.652b,4.01m,12.58m TXs
26 Jun 2026,$4.458b,$40.94m,$44.53m,$30.68b,$89.656b,3.92m,12.42m TXs
27 Jun 2026,$4.502b,$19.1m,$52.87m,$30.361b,$89.646b,3.82m,11.44m TXs
28 Jun 2026,$4.431b,$33.01m,$57.82m,$30.421b,$89.64b,3.7m,11.05m TXs
,,,,,,,
Base,,,,,,,
Date,TVL,DEX Volume,Perps Volume,Stablecoins Mcap,Active Addresses,Transactions,
22 Jun 2026,$4.189B,$1.015B,$227.74M,$4.876B,"402,809",8.37M TXs,
23 Jun 2026,$4.255B,$938.4M,$195.77M,$4.884B,"431,046",8.65M TXs,
24 Jun 2026,$4.205B,$979.69M,$295.3M,$4.908B,"365,256",12.99M TXs,
25 Jun 2026,$4.113B,$1.162B,$265.07M,$4.85B,"364,534",11.61M TXs,
26 Jun 2026,$4.037B,$1.024B,$193.02M,$4.891B,"337,484",10.45M TXs,
27 Jun 2026,$4.059B,$636.53M,$187.37M,$4.878B,"299,294",6.47M TXs,
28 Jun 2026,$4.073B,$733.46M,$139.18M,$4.893B,"323,899",6.52M TXs,
,,,,,,,
Bitcoin,,,,,,,
Date,TVL,Perps Volume,Token Mcap,Active Addresses,Transactions,,
22 Jun 2026,$4.196b,$12.18m,$1.268t,"514,984","672,668 TXs",,
23 Jun 2026,$4.205b,$11.39m,$1.282t,"601,216","774,635 TXs",,
24 Jun 2026,$4.12b,$18.4m,$1.256t,"620,829","751,457 TXs",,
25 Jun 2026,$4.011b,$25.03m,$1.22t,"629,642","751,457 TXs",,
26 Jun 2026,$3.911b,$21.64m,$1.197t,"683,523","710,902 TXs",,
27 Jun 2026,$3.931b,$7.66m,$1.203t,"662,457","710,902 TXs",,
28 Jun 2026,$3.944b,$8.88m,$1.202t,"592,251","826,554 TXs",,
