Ethereum,,,,,,,
Date,TVL,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions
08 Jun 2026,$37.687B,$1.542B,$1.895B,$203.483B,$158.751B,"7,856","31,190"
09 Jun 2026,$37.502B,$1.097B,$1.906B,$203.764B,$158.978B,"7,418","32,846"
10 Jun 2026,$36.861B,$867.7M,$1.948B,$197.709B,$158.753B,"7,588","35,463"
11 Jun 2026,$36.556B,$822.56M,$1.962B,$195.685B,$158.556B,"8,509","30,099"
12 Jun 2026,$37.264B,$993.92M,$1.878B,$201.776B,$157.988B,"7,089","23,774"
13 Jun 2026,$37.529B,$417.95M,$1.721B,$200.947B,$157.868B,"7,801","24,209"
14 Jun 2026,$37.952B,$668.39M,$1.785B,$202.495B,$157.801B,"7,575","22,798"
,,,,,,,
BSC,,,,,,,
Date,TVL,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions
08 Jun 2026,$5.205B,$869.49M,$8.77M,$81.4B,$17.163B,"89,437","489,697 TXs"
09 Jun 2026,$5.176B,$950.33M,$14.8M,$81.052B,$17.237B,"87,328","494,589 TXs"
10 Jun 2026,$5.163B,$864.33M,$11.01M,$79.916B,$17.3B,"94,361","477,604 TXs"
11 Jun 2026,$5.157B,$726.55M,$13.61M,$79.023B,$17.327B,"99,329","528,414 TXs"
12 Jun 2026,$5.228B,$574.27M,$14.86M,$81.553B,$17.523B,"92,540","545,767 TXs"
13 Jun 2026,$5.244B,$597.93M,$5.06M,$81.335B,$17.616B,"89,281","503,060 TXs"
14 Jun 2026,$5.285B,$680.09M,$5.06M,$82.108B,$17.648B,"91,686","516,565 TXs"
,,,,,,,
Solana,,,,,,,
Date,TVL,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,,
08 Jun 2026,$4.925B,$1.463B,$2.045B,$38.397B,$15.866B,,
09 Jun 2026,$4.877B,$1.622B,$1.949B,$38.658B,$15.958B,,
10 Jun 2026,$4.782B,$1.761B,$1.758B,$37.642B,$15.665B,,
11 Jun 2026,$4.439B,$1.561B,$2.767B,$35.608B,$15.772B,,
12 Jun 2026,$4.592B,$1.632B,$2.118B,$38.715B,$15.834B,,
13 Jun 2026,$4.700B,$951.99M,$532.83M,$38.672B,$15.634B,,
14 Jun 2026,$4.793B,$829.73M,$806.84M,$39.896B,$15.685B,,
,,,,,,,
Tron,,,,,,,
Date,TVL ($b),DEXs Volume ($m),Perps Volume ($m),Token Mcap ($b),Stablecoins Mcap ($b),,
08 Jun 2026,$4.438b,$39.44m,$50.17m,$30.957b,$90.188b,,
09 Jun 2026,$4.505b,$49.60m,$44.13m,$30.955b,$90.139b,,
10 Jun 2026,$4.447b,$41.71m,$68.19m,$30.579b,$90.113b,,
11 Jun 2026,$4.366b,$75.28m,$60.06m,$30.413b,$90.114b,,
12 Jun 2026,$4.363b,$56.55m,$42.36m,$29.998b,$90.144b,,
13 Jun 2026,$4.480b,$33.81m,$51.06m,$29.898b,$89.775b,,
14 Jun 2026,$4.495b,$29.10m,$81.26m,$30.061b,$89.758b,,
,,,,,,,
Bitcoin,,,,,,,
Date,TVL,DEXs Volume,Perps Volume,Token Mcap,,,
08 Jun 2026,$4.199b,"$872,917",$14.74m,$1.267t,,,
09 Jun 2026,$4.13b,"$884,423",$14.52m,$1.263t,,,
10 Jun 2026,$4.061b,"$826,466",$13.9m,$1.236t,,,
11 Jun 2026,$4.07b,"$812,786",$11.79m,$1.232t,,,
12 Jun 2026,$4.199b,"$496,753",$8.75m,$1.274t,,,
13 Jun 2026,$4.194b,"$392,003",$6.61m,$1.273t,,,
14 Jun 2026,$4.255b,"$357,885",$8.26m,$1.29t,,,
,,,,,,,
Base,,,,,,,
Date,TVL,DEXs Volume,Perps Volume,Stablecoins Mcap,Active Addresses,Transactions,
08 Jun 2026,$3.997b,$1.209b,$162.09m,$4.839b,"5,793","25,746 TXs",
09 Jun 2026,$3.939b,$1.07b,$277.23m,$4.843b,"3,945","26,998 TXs",
10 Jun 2026,$3.861b,$1.225b,$288.93m,$4.731b,"5,014","25,691 TXs",
11 Jun 2026,$3.875b,$951.12m,$170.25m,$4.734b,"5,523","25,784 TXs",
12 Jun 2026,$3.994b,$815.86m,$176.34m,$4.803b,"3,776","23,102 TXs",
13 Jun 2026,$4.009b,$445.36m,$156.09m,$4.828b,"2,728","9,836 TXs",
14 Jun 2026,$4.097b,$619.67m,$139.78m,$4.852b,"1,923","8,807 TXs",
